Date,Min01,Max01,Max03,Mod04,Sum06,Min11,Max11,Min12,Max12,Min14A,Max14A,Avg14A,Min14B,Max14B,Avg14B
,43242117,43242117,43242117,43242117,43242117,43242117,43242117,43242117,43242117,43043637,43043637,43043637,43071349,43071349,43071349
2021-04-14,0.0,16.45,22.87,56.0,9.399999999999995,10.44,18.43,68.38,96.55,102.4,120.2,115.2,20.0,28.3,24.5
2021-04-15,0.49,16.04,20.47,43.0,0.0,9.54,19.92,53.19,86.88,102.2,115.7,110.4,21.3,34.2,26.3
2021-04-16,0.08,16.63,24.08,51.0,0.0,8.34,18.8,37.22,92.7,86.2,124.1,110.8,18.4,37.5,28.3
2021-04-17,0.0,14.2,19.26,59.0,0.0,5.18,19.88,29.5,84.98,91.4,141.0,124.2,16.2,44.3,30.7
2021-04-18,0.0,16.95,24.08,49.0,0.0,10.82,22.15,24.74,62.75,106.6,149.2,138.8,28.0,49.2,39.0
2021-04-19,0.03,23.01,31.3,194.0,1.4,10.49,17.6,41.69,90.72,113.8,148.3,140.3,29.4,47.4,38.6
2021-04-20,0.0,26.47,37.32,257.0,0.0,9.99,15.4,66.23,98.1,128.0,145.8,138.4,32.6,45.4,37.4
2021-04-21,0.0,13.78,19.26,192.0,11.6,9.77,14.64,68.58,97.25,129.2,142.0,137.8,31.0,35.5,33.0
2021-04-22,0.57,21.9,32.51,244.0,3.2,10.71,18.63,52.78,100.0,108.1,137.7,129.9,31.1,43.5,35.4
2021-04-23,0.14,20.42,44.55,156.0,0.0,13.13,19.07,61.05,93.44,121.9,139.5,130.8,38.3,44.1,40.8
2021-04-24,0.11,26.81,44.55,129.0,0.0,12.96,19.58,50.69,93.28,125.7,148.0,135.7,39.8,47.3,43.3
2021-04-25,0.09,21.69,34.91,138.0,13.799999999999986,12.04,16.83,67.78,97.18,130.4,145.4,139.6,41.5,46.4,43.6
2021-04-26,0.01,19.7,30.1,122.0,4.0,12.13,19.1,54.33,96.09,113.7,148.1,131.4,35.4,48.2,42.5
2021-04-27,0.0,19.65,28.9,33.0,0.4,11.17,17.29,68.44,97.58,118.6,132.7,126.8,39.3,45.1,41.8
2021-04-28,0.66,21.78,30.1,213.0,0.4,10.1,16.55,62.84,98.59,116.0,132.0,127.2,36.9,42.5,39.9
2021-04-29,1.51,23.97,38.53,217.0,0.0,8.38,12.82,48.78,94.49,116.9,136.9,129.5,36.8,46.9,39.3
2021-04-30,0.0,25.15,36.12,210.0,0.0,7.85,14.49,46.9,86.76,121.5,141.8,134.2,29.7,51.3,39.9
2021-05-01,0.7,23.37,33.71,196.0,0.0,7.09,13.65,45.83,93.57,116.3,142.3,136.3,33.3,51.6,41.7
2021-05-02,0.0,18.11,25.28,58.0,0.0,7.09,17.56,37.96,80.7,112.1,149.7,138.6,30.6,53.3,41.6
2021-05-03,0.0,17.9,27.69,179.0,0.0,7.92,20.34,33.79,77.65,121.3,156.2,143.8,41.1,57.2,47.7
2021-05-04,0.0,21.57,32.51,68.0,0.0,9.53,19.76,34.09,87.0,124.6,159.4,148.8,41.6,66.7,53.7
2021-05-05,0.0,22.09,31.3,173.0,0.0,8.21,20.04,51.07,92.05,126.2,156.6,148.2,40.7,64.9,53.4
2021-05-06,0.0,19.1,28.9,196.0,0.0,9.7,18.97,50.57,96.62,123.1,153.4,145.7,46.7,61.9,52.3
2021-05-07,0.0,17.16,24.08,343.0,0.0,11.61,21.48,58.95,91.58,129.4,155.1,146.6,41.2,64.9,53.2
2021-05-08,0.0,23.52,33.71,206.0,0.2,11.7,20.53,59.15,96.44,131.6,153.6,147.4,47.5,66.5,56.3
2021-05-09,0.79,27.71,44.55,192.0,22.199999999999996,9.01,12.98,70.73,99.95,138.6,153.0,146.7,42.9,56.6,50.6
2021-05-10,0.9,27.53,51.77,194.0,16.599999999999994,7.21,11.22,80.36,96.18,130.1,142.4,138.5,37.6,45.6,41.9
2021-05-11,0.65,22.36,32.51,195.0,0.8,6.59,14.61,53.13,97.06,124.7,139.2,133.9,33.5,47.2,40.0
2021-05-12,5.55,31.33,48.16,256.0,1.8,9.35,14.41,62.33,100.0,127.8,141.4,137.3,43.3,56.2,48.8
2021-05-13,0.32,31.21,52.97,195.0,4.4,10.06,14.88,76.74,100.0,135.6,140.6,138.7,46.5,54.0,48.7
2021-05-14,0.0,17.64,24.08,194.0,0.0,9.66,17.23,61.34,100.0,121.4,141.0,134.7,39.1,57.4,47.6
2021-05-15,0.0,18.79,26.49,193.0,0.8,11.62,15.81,83.27,99.44,133.0,141.6,137.9,50.9,53.3,51.9
2021-05-16,0.0,26.11,37.32,193.0,3.2,11.74,16.97,77.63,100.0,132.9,142.7,139.2,49.8,58.2,52.2
