Date,Min01,Max01,Max03,Mod04,Sum06,Min11,Max11,Min12,Max12,Min14A,Max14A,Avg14A,Min14B,Max14B,Avg14B,Min14C,Max14C,Avg14C,Min14D,Max14D,Avg14D,Min14E,Max14E,Avg14E,Min14F,Max14F,Avg14F,Min14G,Max14G,Avg14G
,43075147,43075147,43075147,43075147,43075147,43075147,43075147,43075147,43075147,43195352,43195352,43195352,43242617,43242617,43242617,43193308,43193308,43193308,43193508,43193508,43193508,43243517,43243517,43243517,43193808,43193808,43193808,43194553,43194553,43194553
2020-06-01,0,10.72,19.26,285,0,16.23,33.38,23.74,51.12,-254.1,-253.8,-253.9,-62.4,-21.8,-38,-8.5,1.1,-2.9,-254.3,-254.2,-254.3,-129.5,-0.1,-9.5,-47.5,-15.7,-28.6,nan,nan,nan
2020-06-02,0,18.7,32.51,276,0,17.14,33.94,19.26,50.22,-253.9,254.3,-217.1,-133.1,-8.8,-41.4,-18.7,4.4,-3.4,-254.4,253.7,-218.3,-139.7,191.2,-3.6,-137.1,-10.9,-32.9,nan,nan,nan
2020-06-03,0,12.46,25.28,173,0,17.17,29.24,28.71,48.7,-253.9,-253.8,-253.9,-54.5,-19.5,-36.6,-12,3.4,-2.9,-254.4,-254.2,-254.3,-20.3,0,-9.5,-49.8,-13.5,-28.4,nan,nan,nan
2020-06-04,0,16.38,28.9,282,0,15.71,29.55,20.85,48.09,-253.9,-253.8,-253.9,-65.1,-17.4,-35.9,-9.3,7,-1.5,-254.3,-254.2,-254.3,-139.2,-0.1,-11,-49.5,-8.8,-26.7,nan,nan,nan
2020-06-05,0,14.7,25.28,159,0,11.39,33.81,21.76,48.99,-254,254.3,-232.4,-103.7,-11,-36.5,-3.3,8.1,-1,-254.3,253.8,-233.5,-127.5,66.9,-7.9,-125,3.1,-29.1,nan,nan,nan
2020-06-06,0,13.33,25.28,232,0,14.93,29.99,25.51,47.47,-253.9,254.3,-187.3,-126.8,3.6,-40.3,-15.5,6.2,-1.8,-254.3,253.7,-188.8,-18.6,66.2,-3.6,-136.6,-10.5,-35.7,nan,nan,nan
2020-06-07,0.13,18.52,37.32,301,0,14.93,26.17,23.63,46.79,-254,-253.9,-253.9,-44.9,-33.5,-39.1,-4,1.1,-1.5,-254.3,-254.2,-254.3,-19.5,0,-11.7,-35.9,-19.8,-29.8,nan,nan,nan
2020-06-08,0,20.86,37.32,312,0,9.94,29.72,18.43,48.38,-253.9,254.3,-242.6,-77.2,-3.4,-32.5,-12.8,13.4,0.9,-254.4,253.7,-241.8,-130.7,131.3,-10.3,-84.2,1.5,-26.9,nan,nan,nan
2020-06-09,0,13.42,24.08,288,0,10.01,31.55,20.65,48.11,-253.9,254.3,-221.5,-121.1,-6.1,-32.3,-27.6,10.1,0.9,-254.3,253.7,-220.8,-17,158.2,-5.2,-134.1,1.5,-28,nan,nan,nan
2020-06-10,0,18.41,31.3,204,0,10.42,32.57,21.24,48.34,-254,-253.8,-253.9,-40.3,-28.4,-33.5,-1.6,5.6,1.3,-254.5,-254.2,-254.3,-132,-1,-12.9,-30.2,-14.5,-24.4,nan,nan,nan
2020-06-11,0,16.58,32.51,260,0.8,12.82,24.11,30.91,50.24,-253.9,-253.8,-253.9,-40,-29.6,-34.2,-2.2,2.8,0.7,-254.4,-254.3,-254.3,-17.1,-1.8,-14.4,-31.4,-22,-27.4,nan,nan,nan
2020-06-12,0,18.66,31.3,223,1.4,14.43,24.84,28.22,49.85,-254,176.1,-245,-54,9,-27.6,-5.3,11.8,1.3,-254.4,201.6,-227.2,-19.4,62.5,-7,-67.7,1.1,-26.4,nan,nan,nan
2020-06-13,0,13.56,30.1,223,0.2,12.11,30.8,18.5,50.59,-254,254.3,-250.4,-89.8,-33.8,-39.8,-23.4,1.7,-2.3,-254.5,253.8,-250.9,-19.9,47.5,-13.3,-125.4,-22.2,-32.1,nan,nan,nan
2020-06-14,0,12.19,25.28,276,0,11.26,32.16,21.44,48.44,-254,-253.8,-253.9,-41.3,-34.6,-37.6,-2.9,2.1,-1,-254.3,-254.2,-254.3,-19,-0.1,-14.2,-34.7,-22.1,-29.8,nan,nan,nan
2020-06-15,0,12.58,24.08,295,0.2,12.09,31.71,20.14,48.39,-254,-215,-253.5,-65.7,-2,-34.6,-10.9,8.3,-0.9,-254.4,-163.9,-251,-19.3,25.7,-10.8,-52.3,-4.4,-29.8,nan,nan,nan
2020-06-16,0.82,14.31,27.69,308,0,18.16,27.43,26.12,42.47,-253.9,254.3,-75.3,-99.6,-23.6,-47.3,-23.6,4.8,-3.6,-254.3,253.7,-73.6,-17.6,58.5,10.3,-110.2,-21.6,-50.8,nan,nan,nan
2020-06-17,0,15.52,27.69,37,0,12.5,29.63,20.29,47.73,-253.9,254.3,-141.2,-74.9,-16.5,-38.1,-14.9,7.6,-1.3,-254.3,252.7,-144.3,-19.7,175.2,0.4,-75.8,-12.7,-36.5,nan,nan,nan
2020-06-18,0,17.63,32.51,340,0,11.58,28.74,23.09,48.89,-253.9,246.7,-163.2,-73,-1.1,-34.5,-18,10.8,-0.5,-254.3,221.6,-158.4,-18.8,49,-1.7,-84.5,5.5,-34.5,nan,nan,nan
2020-06-19,0,14.88,26.49,286,0,10.01,28.94,21.77,48.88,-253.9,134.4,-154.1,-66.6,-20.4,-38.2,-10.5,5.2,-1.6,-254.3,128.8,-147.2,-19.6,151.1,0.9,-72.5,-16.7,-36.8,nan,nan,nan
